#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-08T14:37:27', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
57,1,6.350000E+00,1.900632E+01,-3.176821E+01,7.368698E+00,Stable Continental Crust,3.049725E+02,7.800067E+01,-1.200000E+00
58,1,5.150000E+00,1.874005E+01,-3.181689E+01,1.500000E+01,Stable Continental Crust,3.049969E+02,7.799971E+01,-1.200000E+00
59,1,5.450000E+00,1.873914E+01,-3.181799E+01,1.429682E+01,Stable Continental Crust,3.049921E+02,7.799742E+01,-1.200000E+00
60,1,5.850000E+00,1.873735E+01,-3.182016E+01,1.290858E+01,Stable Continental Crust,3.049839E+02,7.800115E+01,-1.200000E+00
61,1,5.350000E+00,1.736476E+01,-3.186186E+01,1.000000E+01,Stable Continental Crust,3.049925E+02,7.800016E+01,-1.200000E+00
62,1,5.250000E+00,1.757653E+01,-3.186185E+01,5.000000E+00,Stable Continental Crust,3.049903E+02,7.800164E+01,-1.200000E+00
63,1,6.050000E+00,1.773536E+01,-3.186185E+01,1.000000E+01,Stable Continental Crust,3.049788E+02,7.800021E+01,-1.200000E+00
64,1,5.150000E+00,1.789419E+01,-3.186186E+01,1.500000E+01,Stable Continental Crust,3.049912E+02,7.799902E+01,-1.200000E+00
65,1,5.450000E+00,1.805302E+01,-3.186186E+01,1.000000E+01,Stable Continental Crust,3.049899E+02,7.800146E+01,-1.200000E+00
66,1,5.350000E+00,1.842306E+01,-3.186254E+01,1.456289E+01,Stable Continental Crust,3.049927E+02,7.800123E+01,-1.200000E+00
67,1,5.150000E+00,1.884717E+01,-3.186186E+01,1.000000E+01,Stable Continental Crust,3.049912E+02,7.799902E+01,-1.200000E+00
68,1,6.750000E+00,1.736371E+01,-3.190878E+01,8.750000E+00,Stable Continental Crust,3.049443E+02,7.799982E+01,-1.200000E+00
69,1,5.150000E+00,1.757720E+01,-3.190682E+01,1.000000E+01,Stable Continental Crust,3.049869E+02,7.799962E+01,-1.200000E+00
70,1,5.150000E+00,1.847768E+01,-3.190682E+01,5.000000E+00,Stable Continental Crust,3.049869E+02,7.799834E+01,-1.200000E+00
71,1,5.450000E+00,1.900737E+01,-3.190682E+01,1.000000E+01,Stable Continental Crust,3.049922E+02,7.800052E+01,-1.200000E+00
72,1,5.150000E+00,1.731290E+01,-3.195179E+01,5.000000E+00,Stable Continental Crust,3.049967E+02,7.799893E+01,-1.200000E+00
73,1,5.250000E+00,1.757788E+01,-3.195179E+01,1.000000E+01,Stable Continental Crust,3.049894E+02,7.799689E+01,-1.200000E+00
74,1,6.250000E+00,1.810241E+01,-3.195835E+01,1.080738E+01,Stable Continental Crust,3.049745E+02,7.800010E+01,-1.200000E+00
75,1,6.250000E+00,1.869077E+01,-3.195179E+01,1.000000E+01,Stable Continental Crust,3.049757E+02,7.799982E+01,-1.200000E+00
76,1,5.550000E+00,1.879676E+01,-3.195179E+01,1.000000E+01,Stable Continental Crust,3.049895E+02,7.799927E+01,-1.200000E+00
77,1,6.150000E+00,1.900411E+01,-3.195740E+01,1.141691E+01,Stable Continental Crust,3.049802E+02,7.799912E+01,-1.200000E+00
78,1,5.150000E+00,1.937971E+01,-3.195179E+01,1.500000E+01,Stable Continental Crust,3.049980E+02,7.800021E+01,-1.200000E+00
79,1,5.150000E+00,1.853293E+01,-3.199675E+01,1.000000E+01,Stable Continental Crust,3.049902E+02,7.800384E+01,-1.200000E+00
80,1,5.050000E+00,1.858595E+01,-3.199675E+01,1.000000E+01,Stable Continental Crust,3.049917E+02,7.800474E+01,-1.200000E+00
81,1,5.150000E+00,1.916918E+01,-3.199675E+01,1.500000E+01,Stable Continental Crust,3.049915E+02,7.800384E+01,-1.200000E+00
82,1,6.150000E+00,1.932825E+01,-3.199675E+01,1.000000E+01,Stable Continental Crust,3.049765E+02,7.800093E+01,-1.200000E+00
83,1,5.150000E+00,1.954033E+01,-3.199675E+01,5.000000E+00,Stable Continental Crust,3.049928E+02,7.800256E+01,-1.200000E+00
84,1,5.350000E+00,1.953977E+01,-3.199744E+01,1.456289E+01,Stable Continental Crust,3.049936E+02,7.800166E+01,-1.200000E+00
85,1,5.050000E+00,1.768532E+01,-3.204172E+01,1.500000E+01,Stable Continental Crust,3.049895E+02,7.800520E+01,-1.200000E+00
86,1,5.750000E+00,1.826666E+01,-3.204436E+01,1.331129E+01,Stable Continental Crust,3.049861E+02,7.800108E+01,-1.200000E+00
87,1,5.650000E+00,1.911759E+01,-3.204172E+01,1.000000E+01,Stable Continental Crust,3.049901E+02,7.800022E+01,-1.200000E+00
88,1,5.450000E+00,1.943588E+01,-3.204172E+01,1.000000E+01,Stable Continental Crust,3.049947E+02,7.799832E+01,-1.200000E+00
89,1,5.450000E+00,1.742068E+01,-3.208669E+01,5.000000E+00,Stable Continental Crust,3.049891E+02,7.800055E+01,-1.200000E+00
90,1,6.050000E+00,1.779220E+01,-3.208669E+01,1.000000E+01,Stable Continental Crust,3.049797E+02,7.800005E+01,-1.200000E+00
91,1,5.050000E+00,1.816371E+01,-3.208669E+01,1.000000E+01,Stable Continental Crust,3.049945E+02,7.799806E+01,-1.200000E+00
92,1,5.150000E+00,1.842908E+01,-3.208669E+01,1.500000E+01,Stable Continental Crust,3.049940E+02,7.799389E+01,-1.200000E+00
93,1,5.050000E+00,1.736819E+01,-3.213166E+01,1.000000E+01,Stable Continental Crust,3.049923E+02,7.799376E+01,-1.200000E+00
94,1,5.150000E+00,1.763368E+01,-3.213165E+01,5.000000E+00,Stable Continental Crust,3.049929E+02,7.800439E+01,-1.200000E+00
95,1,5.450000E+00,1.773988E+01,-3.213165E+01,1.000000E+01,Stable Continental Crust,3.049899E+02,7.799963E+01,-1.200000E+00
96,1,5.950000E+00,1.853642E+01,-3.213159E+01,5.038104E+00,Stable Continental Crust,3.049803E+02,7.800075E+01,-1.200000E+00
97,1,5.250000E+00,1.880161E+01,-3.213196E+01,1.480278E+01,Stable Continental Crust,3.049894E+02,7.800141E+01,-1.200000E+00
98,1,5.250000E+00,1.747501E+01,-3.217662E+01,1.000000E+01,Stable Continental Crust,3.049937E+02,7.799323E+01,-1.200000E+00
99,1,5.050000E+00,1.805940E+01,-3.217662E+01,1.500000E+01,Stable Continental Crust,3.049936E+02,7.800661E+01,-1.200000E+00
100,1,5.350000E+00,1.880315E+01,-3.217662E+01,1.000000E+01,Stable Continental Crust,3.049908E+02,7.799738E+01,-1.200000E+00
